city,priority_rank,green_space_pct,street_tree_pct,recommended_intervention,green_space_gap_pct,street_tree_gap_pct
ATHINA,1,47.22266462665603,3.2544089891416337,Expand targeted cooling and shade,0.0,0.3582273250772161
MILANO,2,9.927272189513904,4.814992318937638,Expand green infrastructure,22.515454216967104,0.0
AMSTERDAM,3,8.189334984607827,4.219192231133019,Expand green infrastructure,24.253391421873182,0.0
BARCELONA,4,48.29647349890187,3.817476285732188,Target cooling in high-density areas,0.0,0.0
MADRID,5,37.97216042125227,2.091410488921852,Expand street-tree coverage,0.0,1.5212258252969977
BUDAPEST,6,24.27408393068595,4.261056434541582,Strengthen urban cooling and tree canopy,8.168642475795057,0.0
WIEN,7,23.58884632063126,1.929495507567268,Expand green infrastructure and street-tree coverage,8.853880085849749,1.6831408066515818
LISBOA,8,36.514980978440434,1.8461029608492452,Expand street-tree coverage,0.0,1.7665333533696046
PRAHA,9,28.37047183452158,3.407796342705512,Strengthen green infrastructure and shade,4.0722545719594265,0.204839971513338
BERLIN,10,40.156174743453214,5.840579547280518,Target cooling in dense built-up areas,0.0,0.0
